pool	HM006-1	M162
HM_A17_X2	9.25342e-05	9.25342e-05
HM_initial_2	0.00063371	0.00063371
HM_A17_X1	8.01017e-05	8.01017e-05
HM_A17_X4	8.66244e-05	8.66244e-05
HM_A17_X3	0.000104546	0.000104546
HM_R108_X3	8.09726e-05	8.09726e-05
HM_R108_X1	7.22294e-05	7.22294e-05
HM_initial_4	0.000527386	0.000527386
HM_R108_X2	6.86855e-05	6.86855e-05
HM_initial_3	0.000498734	0.000498734
HM_initial_1	0.000492924	0.000492924
HM_R108_X4	6.32713e-05	6.32713e-05
