pool	M162	KH46C
MK_A17_X2	9.07804e-05	9.07804e-05
MK_initial_4	0.000773044	0.000773044
MK_A17_X3	0.000102492	0.000102492
MK_A17_X4	8.36914e-05	8.36914e-05
MK_A17_X1	7.54747e-05	7.54747e-05
MK_initial_1	0.000637354	0.000637354
MK_R108_X3	8.18002e-05	8.18002e-05
MK_R108_X4	7.75015e-05	7.75015e-05
MK_initial_2	0.000556295	0.000556295
MK_R108_X2	7.33166e-05	7.33166e-05
MK_R108_X1	5.87148e-05	5.87148e-05
MK_initial_3	0.000476373	0.000476373
