pool	HM006-1	KH46C
KH_A17_X3	0.000700914	0.000700914
KH_A17_X1	0.000640986	0.000640986
KH_initial_3	0.000778858	0.000778858
KH_A17_X4	0.000637547	0.000637547
KH_A17_X2	0.000533423	0.000533423
KH_R108_X1	0.000736952	0.000736952
KH_R108_X4	0.000682869	0.000682869
KH_initial_4	0.000604687	0.000604687
KH_initial_1	0.000562882	0.000562882
KH_R108_X3	0.000599359	0.000599359
KH_initial_2	0.000545607	0.000545607
KH_R108_X2	0.000559012	0.000559012
